2+3	[2, 3]	5
2*3	[2, 3]	6
2+4	[2, 4]	6
2+5	[2, 5]	7
3+4	[3, 4]	7
2*4	[2, 4]	8
2+6	[2, 6]	8
3+5	[3, 5]	8
2+7	[2, 7]	9
3+6	[3, 6]	9
4+5	[4, 5]	9
2*5	[2, 5]	10
2+8	[2, 8]	10
3+7	[3, 7]	10
4+6	[4, 6]	10
2*3+4	[2, 3, 4]	10
2+9	[2, 9]	11
3+8	[3, 8]	11
4+7	[4, 7]	11
5+6	[5, 6]	11
2*3+5	[2, 3, 5]	11
2*4+3	[2, 3, 4]	11
2*6	[2, 6]	12
2+10	[2, 10]	12
3*4	[3, 4]	12
3+9	[3, 9]	12
4+8	[4, 8]	12
5+7	[5, 7]	12
2*3+6	[2, 3, 6]	12
2+11	[2, 11]	13
3+10	[3, 10]	13
4+9	[4, 9]	13
5+8	[5, 8]	13
6+7	[6, 7]	13
2*3+7	[2, 3, 7]	13
2*4+5	[2, 4, 5]	13
2*5+3	[2, 3, 5]	13
2*7	[2, 7]	14
2+12	[2, 12]	14
3+11	[3, 11]	14
4+10	[4, 10]	14
5+9	[5, 9]	14
6+8	[6, 8]	14
2*3+8	[2, 3, 8]	14
2*4+6	[2, 4, 6]	14
2*5+4	[2, 4, 5]	14
3*4+2	[2, 3, 4]	14
(3+4)*2	[2, 3, 4]	14
2+3+4+5	[2, 3, 4, 5]	14
2+13	[2, 13]	15
3*5	[3, 5]	15
3+12	[3, 12]	15
4+11	[4, 11]	15
5+10	[5, 10]	15
6+9	[6, 9]	15
7+8	[7, 8]	15
2*3+9	[2, 3, 9]	15
2*4+7	[2, 4, 7]	15
2*6+3	[2, 3, 6]	15
2+3+4+6	[2, 3, 4, 6]	15
4+5+2*3	[2, 3, 4, 5]	15
2*8	[2, 8]	16
2+14	[2, 14]	16
3+13	[3, 13]	16
4+12	[4, 12]	16
5+11	[5, 11]	16
6+10	[6, 10]	16
7+9	[7, 9]	16
2*3+10	[2, 3, 10]	16
2*4+8	[2, 4, 8]	16
2*5+6	[2, 5, 6]	16
2*6+4	[2, 4, 6]	16
(3+5)*2	[2, 3, 5]	16
2+3+4+7	[2, 3, 4, 7]	16
2+3+5+6	[2, 3, 5, 6]	16
3+5+2*4	[2, 3, 4, 5]	16
4+6+2*3	[2, 3, 4, 6]	16
3+14	[3, 14]	17
4+13	[4, 13]	17
5+12	[5, 12]	17
6+11	[6, 11]	17
7+10	[7, 10]	17
8+9	[8, 9]	17
2*3+11	[2, 3, 11]	17
2*4+9	[2, 4, 9]	17
2*5+7	[2, 5, 7]	17
2*6+5	[2, 5, 6]	17
2*7+3	[2, 3, 7]	17
3*4+5	[3, 4, 5]	17
3*5+2	[2, 3, 5]	17
2+3+4+8	[2, 3, 4, 8]	17
2+3+5+7	[2, 3, 5, 7]	17
2+4+5+6	[2, 4, 5, 6]	17
3+4+2*5	[2, 3, 4, 5]	17
3+6+2*4	[2, 3, 4, 6]	17
4+7+2*3	[2, 3, 4, 7]	17
5+6+2*3	[2, 3, 5, 6]	17
2*9	[2, 9]	18
3*6	[3, 6]	18
4+14	[4, 14]	18
5+13	[5, 13]	18
6+12	[6, 12]	18
7+11	[7, 11]	18
8+10	[8, 10]	18
2*3+12	[2, 3, 12]	18
(2+4)*3	[2, 3, 4]	18
2*4+10	[2, 4, 10]	18
2*5+8	[2, 5, 8]	18
2*7+4	[2, 4, 7]	18
3*4+6	[3, 4, 6]	18
(3+6)*2	[2, 3, 6]	18
(4+5)*2	[2, 4, 5]	18
2+3+4+9	[2, 3, 4, 9]	18
2+3+5+8	[2, 3, 5, 8]	18
2+3+6+7	[2, 3, 6, 7]	18
2+4+5+7	[2, 4, 5, 7]	18
3+4+5+6	[3, 4, 5, 6]	18
3+7+2*4	[2, 3, 4, 7]	18
4+8+2*3	[2, 3, 4, 8]	18
5+7+2*3	[2, 3, 5, 7]	18
5+14	[5, 14]	19
6+13	[6, 13]	19
7+12	[7, 12]	19
8+11	[8, 11]	19
9+10	[9, 10]	19
2*3+13	[2, 3, 13]	19
2*4+11	[2, 4, 11]	19
2*5+9	[2, 5, 9]	19
2*6+7	[2, 6, 7]	19
2*7+5	[2, 5, 7]	19
2*8+3	[2, 3, 8]	19
3*4+7	[3, 4, 7]	19
3*5+4	[3, 4, 5]	19
2+3+4+10	[2, 3, 4, 10]	19
2+3+5+9	[2, 3, 5, 9]	19
